s.no,topic,title,url
206,C++,Programming: Principles and Practice Using C++,https://www.amazon.com/Programming-Principles-Practice-Using-C/dp/0321543726?tag=hackr-20
207,C++,C++ Primer,https://www.amazon.com/Primer-5th-Stanley-B-Lippman/dp/0321714113/?tag=hackr-20
208,Clojure,Clojure By Example,http://kimh.github.io/clojure-by-example/
209,Clojure,Clojure from the ground up,https://aphyr.com/posts/301-clojure-from-the-ground-up-welcome
210,Clojure,Clojure Fundamentals For Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/clojure-fundamentals-for-beginners/
211,Clojure,The Ultimate Guide To Clojure REPLs,https://lambdaisland.com/guides/clojure-repls/
212,Clojure,Functional Programming with Clojure,http://mooc.fi/courses/2014/clojure/
213,Cassandra,Getting Started With Apache Cassandra,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/apache-cassandra/
214,Cassandra,Cassandra Tutorial,http://www.tutorialspoint.com/cassandra/index.htm
215,Cassandra,Cassandra: The Definitive Guide,https://www.amazon.com/Cassandra-Definitive-Guide-Distributed-Scale/dp/1491933666/?tag=hackr-20
216,Cassandra,Learn Apache Cassandra from Scratch,https://www.eduonix.com/courses/Web-Development/Learn-Apache-Cassandra-from-Scratch
217,Chef,Chef for the Absolute Beginners,https://kodekloud.com/p/chef-for-the-absolute-beginners
218,Chef,A Beginner’s Guide to Chef,https://www.linode.com/docs/applications/configuration-management/beginners-guide-chef
219,Chef,Getting started with Chef,http://gettingstartedwithchef.com/
220,Chef,Learning Chef,https://www.youtube.com/playlist?list=PLKK5zTDXqzFM53J6-rikDrqbbY0Pu-9SP
221,Chef,Learning Chef,https://www.youtube.com/playlist?list=PLKK5zTDXqzFM53J6-rikDrqbbY0Pu-9SP
222,C++,Aprende Programación en C++ desde cero,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/resolviendo-problemas-con-c/
223,CakePHP,CakePHP Blog Tutorial (Official docs),https://book.cakephp.org/3.0/en/tutorials-and-examples/blog/blog.html
224,CakePHP,CakePHP 3 for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/cakephp-version-3-for-beginners/
